hcp_id,name,specialty,location,experience,rating,fee,degree_qual,kol_score,is_kol,kol_rank,latitude,longitude,degree_centrality,betweenness_centrality
3601,Anees,unani,Bangalore,45,3.0,200,MBBS,1.0,1,1,12.962674219852708,77.57776200771332,0.0013728720483250961,0.0
3618,Wasiya Khanapuri,unani,Bangalore,3,3.5,200,MBBS,0.8289594968415406,1,2,12.955803651471,77.573707551204,0.0016474464579901153,1.8309988098507738e-07
3617,Baba Sameer Basha K,unani,Bangalore,4,3.5,300,MBBS,0.7862439084458848,1,3,12.9853889,77.5900584,0.0019220208676551346,1.8309988098507738e-07
3479,G Chandrashekar,cardiac-surgeon,Bangalore,36,5.0,800,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",0.7773518670161472,1,4,12.96056110058228,77.58395074835684,0.0013728720483250961,0.0
3645,M.K Shetty,trichologist,Bangalore,35,4.5,700,"MBBS, DDVL, MD - Dermatology",0.7764029439605283,1,5,12.988214877524,77.592170438025,0.0,0.0
3487,Anand Subrmanyam,cardiac-surgeon,Seshadripuram,32,3.5,550,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",0.7761506154964766,1,6,12.9878536,77.571869,0.0002745744096650192,0.0
3493,Joseph Xavier,cardiac-surgeon,Bangalore,33,4.0,1000,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery, doctor through the doctor's profile on Practo",0.7742787766255772,1,7,12.919958522657216,77.665283565548,0.0013728720483250961,0.0
3488,Manoj Kumar S P,cardiac-surgeon,Seshadripuram,34,3.5,740,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",0.764783890673906,1,8,12.9878536,77.571869,0.0002745744096650192,0.0
3619,Shagufta,unani,Banaswadi,7,3.8,300,MBBS,0.7628151159563934,1,9,13.010392128315958,77.64829102903605,0.0,0.0
2036,Kapur B,psychiatrist,Hebbal,47,3.5,2320,"MBBS, M.D. (Psychiatry)",0.761169155151975,1,10,13.0509374,77.5913499,0.0008237232289950577,0.0
2037,Kapur B,psychiatrist,Hebbal,47,3.5,2320,"MBBS, M.D. (Psychiatry)",0.761169155151975,1,10,12.988214877524,77.592170438025,0.0008237232289950577,0.0
2736,Prashanth M Prabhu,anesthesiologist,Seshadripuram,22,3.5,740,"MBBS, Diploma in Anesthesiology, DNB - Anaesthesia",0.7605703296023396,1,12,12.9878536,77.571869,0.0,0.0
2584,Uma Karjigi,rheumatologist,Bangalore,24,3.5,1300,"MBBS, MRCP (UK)",0.7551549960556428,1,13,12.95959,77.64937,0.002196595277320154,4.898993471172639e-07
